time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.41492054394e-07,5.46026203294e-07,10.0051858534,0.000421989872297,0.000356417291933,0.0,-3.71511553398e-05,4.51516371383e-05,0.172850646294,0.018307072914,0.0157533101349,0.0,459.5201893933419,460.7669791927906,457.99530514819935,459.44871134138054
0.12000000000000001,-1.56327937048e-05,1.87080286439e-05,10.021639016,0.00196504636277,0.00158544305516,0.0,-0.000598238962261,0.000718627277427,0.375542563008,0.037475261106,0.028574173129,0.0,467.84968553889854,468.8466450160234,467.71225363378,469.20258034842595
0.18,-8.91616980263e-05,0.000109864559609,10.0462393573,0.00500845237657,0.00341411595322,0.0,-0.0020254770603,0.00258564005843,0.444442888194,0.068954714265,0.0340360388664,0.0,427.24707607793783,427.7127679225529,425.33718820508017,428.0258193814469
0.23999999999999996,-0.00029465388418,0.000389856151412,10.0767193934,0.00978019986522,0.00691052382955,0.0,-0.00514064744679,0.00722533234748,0.571498251946,0.0950101449685,0.0850495168444,0.0,443.15098838095605,447.3258268424608,444.9611075957006,447.09353171400426
0.3,-0.000789520095169,0.00108142465721,10.1170939974,0.0160185167877,0.01173400549,0.0,-0.0119383166994,0.0165303260593,0.774192871513,0.117622297314,0.0689113119238,0.0,470.317987272659,469.07133078045985,466.90784413307676,468.6769768263882
0.36000000000000004,-0.00176842391946,0.00243730312277,10.166899069,0.0230714078862,0.0157199838037,0.0,-0.0211126217632,0.0293959680183,0.885876581551,0.117399689611,0.0609508682357,0.0,441.60942785347527,440.9557056854064,441.27394076926623,441.26807539431206
0.4200000000000001,-0.0034052081608,0.00475063899917,10.2249379808,0.0300425304295,0.0195823392184,0.0,-0.0338640170455,0.0484916641423,1.048590829,0.113641401804,0.0704595485763,0.0,456.81608529203754,457.57647572453055,457.51375787244405,457.22612746732585
0.48000000000000015,-0.00586214017307,0.00831344622792,10.2910598782,0.0367878405576,0.0235606803275,0.0,-0.0484561919005,0.0709636141704,1.15533761199,0.109866228943,0.0563416566134,0.0,440.8956748291448,439.7311126082476,440.4734879234282,440.1725627889088
0.5400000000000001,-0.0092481426797,0.0133231607514,10.362494432,0.043457558077,0.0268533386784,0.0,-0.0647349591397,0.0966708944794,1.22570597267,0.113632922898,0.0517771999663,0.0,427.8599971576876,427.47340309879934,430.1290325981605,430.4592545012912
0.6000000000000002,-0.0136580672032,0.0199792148496,10.437506786,0.0500841935613,0.0303904541727,0.0,-0.0825779270594,0.125830008882,1.27461186357,0.103157757511,0.0704045684814,0.0,421.4079106816759,423.01739432681444,422.66203084746274,421.76980833947516
0.6600000000000003,-0.0191520101905,0.0284145516898,10.5135961403,0.0564652162952,0.0344312772092,0.0,-0.100907745064,0.155883874578,1.26167209275,0.112068788312,0.0604016011403,0.0,402.14724019548123,401.24412998704304,400.9581675243889,401.7780229186111
0.7200000000000003,-0.0258805712476,0.0388745082804,10.5908002584,0.0633934452302,0.0379180977737,0.0,-0.123713232743,0.193422662652,1.31168767094,0.121523088698,0.0530950257312,0.0,423.3759740415338,422.74944134678344,422.27735223374594,423.1046428040273
0.7800000000000004,-0.0342408111672,0.0520531764115,10.6761203204,0.0705223480348,0.0410221738798,0.0,-0.155329030425,0.246710498644,1.53196555467,0.112765434755,0.0488657216457,0.0,475.8234993302133,475.5011774193195,476.53499680372585,475.8767843812772
0.8400000000000004,-0.0442806047658,0.0680940425823,10.7676144223,0.0769444468376,0.0448434944643,0.0,-0.179628604469,0.288547311739,1.51779620075,0.0919886682158,0.0833909288045,0.0,401.13058843365275,404.25653103069004,402.67337795330707,400.8007742374735
0.9000000000000005,-0.0560883130074,0.0871551851006,10.8634190503,0.0824765129894,0.0503214988123,0.0,-0.214536696423,0.347411916646,1.67538574299,0.0926223181934,0.103678783901,0.0,456.8423206278604,458.46356603646274,458.4593614319489,458.5165786073502
0.9600000000000005,-0.0701827786932,0.10997464278,10.9698994874,0.087621703701,0.05703503503,0.0,-0.256023632538,0.413833180098,1.87354786731,0.0662152474175,0.124643966626,0.0,469.6570227207957,471.290270925868,472.4195968629415,470.38455137483464
1.0200000000000005,-0.0867408660214,0.13660560148,11.0850099254,0.0910630723095,0.0649977613265,0.0,-0.296686150786,0.47422733635,1.96321777456,0.0265113710098,0.145283557273,0.0,438.17119461682785,439.89971779065723,439.4881013175258,436.1870660573424
1.0800000000000005,-0.106013369558,0.167065777627,11.2070879568,0.0926898544363,0.073223220059,0.0,-0.346645397708,0.541248810764,2.10569587157,0.028289831729,0.110851094997,0.0,457.4256315567461,454.69165151123997,454.9009397244666,455.04347546581204
1.1400000000000006,-0.128360521849,0.20146113169,11.3364087741,0.0948966455511,0.0805368665277,0.0,-0.398966411844,0.605433679593,2.20471358135,0.0498742689014,0.137876216599,0.0,441.0612572442457,443.30057288816585,442.339030134916,444.11347389572103
1.2000000000000006,-0.153831715125,0.239555113609,11.4695656027,0.0981884779814,0.0887598687512,0.0,-0.450827086414,0.66463250709,2.23367379067,0.0633305924518,0.135346249889,0.0,421.77460443959296,421.5745487369253,418.9132282894493,420.0838387264877
1.2600000000000007,-0.182511326903,0.281200246601,11.6038220531,0.102141455203,0.096586934645,0.0,-0.505869384585,0.723861482345,2.24139765683,0.0705508440685,0.118232237631,0.0,414.73021823854094,413.2411574872031,413.38726211299905,414.0265444727005
